REFERENCIA	DESCRIPCION_REF	STOCK_TOTAL_PORTABILIDAD	STOCK_DISPONIBLE_PORTABILIDAD	COMPROMETIDO_PORTABILIDAD	PENDIENTE_PORTABILIDAD	STOCK_TOTAL_NO_PORTABILIDAD	DISPONIBLE_NO_PORTABILIDAD	COMPROMETIDO_NO_PORTABILIDAD	PENDIENTE_NO_PORTABILIDAD
3020065	LG KP501 BLANCO POS SIG	1	0	1	0	1	1	0	0
3240166	LG KP501 BLANCO PACK NIÑOS SIG POS M	1	0	1	0	1	0	1	0
3010087	SE AINO ZERO BLANCO UMTS	1	0	1	0	0	0	0	0
3030204	LG GW620 (EVE) AZUL-NEGRO POS UMTS SIG	1	0	1	0	0	0	0	0
3310076	NOKIA N86 POS UMTS	1	0	1	0	0	0	0	0
3310084	LG GW520 (CALISTO) BLANCO POS UMTS	1	0	1	0	0	0	0	0
3320081	ALCATEL 708 AZUL POS SIG	1	0	1	0	0	0	0	0
3320087	NOKIA 2720 Fold NEGRO POS SIG	1	0	1	0	0	0	0	0
3320093	ORANGE MIAMI BLANCO SIG	1	0	1	0	0	0	0	0
3330107	LG KF310 ROJO POS UMTS SIG	1	0	1	0	0	0	0	0
3330128	NOKIA 5800 POS UMTS SIG	1	0	1	0	0	0	0	0
3330141	SAMSUNG S5600 (Preston) POS UMTS SIG	1	0	1	0	0	0	0	0
3330155	LG BL40 NEGRO (WHITE) POS UMTS SIG	1	0	1	0	0	0	0	0
3330156	LG GW520 (CALISTO) PLATA POS UMTS SIG	1	0	1	0	0	0	0	0
3330157	NOKIA 6700 PLATA POS UMTS SIG	1	0	1	0	0	0	0	0
3330171	NOKIA 5230 POS UMTS SIG	1	0	1	0	0	0	0	0
3330179	HTC TATTOO AZUL (CLICK) POS UMTS SIG	1	0	1	0	0	0	0	0
TARJPAC	TARJETA PACK PREPAGO	0	0	0	0	95011	95007	4	0
3800060	PACK SIM FOR FREE 1+4EUR (FCAD 31/07/11)	0	0	0	0	25086	20232	4854	0
3600544	SOBRE YA.COM	0	0	0	0	13383	13383	0	0
3600528	CARGADOR SOLAR POS	0	0	0	0	3320	3320	0	0
3800062	"WP PINGÜINO PRE. 64 KB ""0"" EUROS"	0	0	0	0	1658	1651	7	0
3400259	PACK 3G	0	0	0	0	1634	1633	1	0
3810171	WP POSPAGO RESIDENCIAL 64K HLR34 M	0	0	0	0	1500	1500	0	0
3810101	WP POSPAGO BASICO RESIDENCIAL	0	0	0	0	1410	1408	2	0
1031237	PEN DRIVE 1 GB	0	0	0	0	1402	1402	0	0
3810023	WP POSPAGO RESIDENCIAL 64K HLR10	0	0	0	0	1378	1310	68	0
3810091	WP POSPAGO BASICO RESIDENCIAL	0	0	0	0	1197	1197	0	0
3600529	ADAPTADOR MICRO A MINI SD  	0	0	0	0	1087	1087	0	0
3600543	CARTAS YA.COM	0	0	0	0	957	957	0	0
3800052	PACK SIM PREPAGO 12 EUR 64K (2010)VS2	0	0	0	0	823	800	23	0
3700292	CARCASA GOMA BLANCA IPHONE 4(B0917FTP12)	0	0	0	0	605	604	1	0
3810119	WP 3FF POSTPAGO HLR 41	0	0	0	0	496	496	0	0
3700277	CARGADOR COCHE IPHONE 3G/4 (BXIPCR01)	0	0	0	0	496	464	32	0
3700291	CARCASA GOMA NEGRA IPHONE 4 (B0917FTP11)	0	0	0	0	487	483	4	0
3700293	FUNDA PIEL NEGRA IPHONE 4 (B0917FU70)	0	0	0	0	485	480	5	0
3700294	PROTECTOR NEGRO IPHONE 4 (B0917BP06)	0	0	0	0	483	481	2	0
3700289	CARCASA GOMA BASICA IPHONE 4 (B0917CAR02	0	0	0	0	479	477	2	0
3700208	ALTAVOCES SAMSUNG ASP 700	0	0	0	0	469	469	0	0
3800048	PACK SIM PREPAGO 12 EUR 64K MANIPULADO.	0	0	0	0	457	457	0	0
3700284	PROTECTOR PANTALLA IPHONE 4 (BXSCREEN29)	0	0	0	0	457	429	28	0
3700290	CARCASA CRYSTAL IPHONE 4 (B0917CAR59)	0	0	0	0	402	363	39	0
3700269	ADAPTADOR SIM 2FF- 3FF	0	0	0	0	355	355	0	0
3600525	ALTAVOCES N-95 	0	0	0	0	311	311	0	0
3700313	FUNDA EASY NEG LISA IP(B9000FU05EASIO)	0	0	0	0	269	267	2	0
3240170	ZTE MF637 NEGRO IEW+HP MINI 110 POS M	0	0	0	0	267	251	16	0
3800034	PACK SIM INICIO FUSION 0 EUR	0	0	0	0	265	264	1	0
1022010	PACK SIM INICIO 64K 12 EUROS	0	0	0	0	260	260	0	0
3700285	PROTECTOR PANTALLA UNIVERSAL (BXSCREEN)	0	0	0	0	260	204	56	0
